jgagnant,tropheesg,cg1,cg2,cg3,cg4,cg5,cg6,cg7,cg8,jperdant,tropheesp,cp1,cp2,cp3,cp4,cp5,cp6,cp7,cp8
#8PGV00LV,6559,Skeleton Army,Goblin Barrel,Electro Giant,The Log,Valkyrie,Goblin Gang,Furnace,Princess,#VPYRRCPLV,6560,Wizard,P.E.K.K.A,Battle Ram,Bandit,Royal Ghost,Magic Archer,Zap,Poison
#VPL2UUYG9,6589,Archers,Three Musketeers,Elite Barbarians,Bandit,Royal Ghost,Elixir Collector,Rage,Heal Spirit,#8PGV00LV,6589,Skeleton Army,Goblin Barrel,Electro Giant,The Log,Valkyrie,Goblin Gang,Furnace,Princess
#VV9VPJQUG,6619,P.E.K.K.A,Lumberjack,Battle Ram,Electro Wizard,Royal Ghost,Golden Knight,Mother Witch,Arrows,#8PGV00LV,6619,Skeleton Army,Goblin Barrel,Electro Giant,The Log,Valkyrie,Goblin Gang,Furnace,Princess
#VVP8VQ00Y,6649,Guards,Miner,Inferno Dragon,Bats,Mega Knight,Skeleton Barrel,Zap,Poison,#8PGV00LV,6649,Skeleton Army,Goblin Barrel,Electro Giant,The Log,Valkyrie,Goblin Gang,Furnace,Princess
#8PGV00LV,6649,Tesla,Goblins,Balloon,Cannon,X-Bow,Goblin Curse,Royal Recruits,Goblin Hut,#V2ULQ989L,2475,Monk,The Log,Rage,Executioner,Phoenix,Bandit,Minion Horde,Miner
#8PGV00LV,6649,Skeleton Army,Goblin Barrel,Electro Giant,The Log,Valkyrie,Goblin Gang,Furnace,Princess,#V2ULQ989L,2475,Skeleton Army,Freeze,Giant Skeleton,Royal Giant,Royal Hogs,Skeleton Dragons,Vines,Giant Snowball
#V2ULQ989L,2475,Mother Witch,Archer Queen,Balloon,Knight,Electro Wizard,Witch,Spear Goblins,Graveyard,#8PGV00LV,6649,Princess,Electro Giant,Cannon,Minions,Freeze,Rocket,Goblin Curse,Arrows
#8PGV00LV,6649,Skeleton Army,Goblin Barrel,Electro Giant,The Log,Valkyrie,Goblin Gang,Furnace,Princess,#V2ULQ989L,2475,Skeleton Army,Freeze,Giant Skeleton,Royal Giant,Royal Hogs,Skeleton Dragons,Vines,Giant Snowball
#8PGV00LV,6649,Skeleton Army,Goblin Barrel,Electro Giant,The Log,Valkyrie,Goblin Gang,Furnace,Princess,#V2ULQ989L,2475,Wizard,Mini P.E.K.K.A,Freeze,Baby Dragon,Witch,Balloon,Goblin Cage,Musketeer
#209UC90J8U,6679,Mini P.E.K.K.A,Dark Prince,Sparky,Mega Minion,Electro Wizard,Goblin Giant,Rage,Zap,#8PGV00LV,6679,Skeleton Army,Goblin Barrel,Electro Giant,The Log,Valkyrie,Goblin Gang,Furnace,Princess
#8PGV00LV,6650,Skeleton Army,Goblin Barrel,Electro Giant,The Log,Valkyrie,Goblin Gang,Furnace,Princess,#V9Y0JG8Q0,6649,Skeleton Army,Inferno Dragon,Rage,Witch,Little Prince,Mega Knight,Mirror,Mini P.E.K.K.A
